scan_frequency_score,unique_locations_ratio,supply_chain_completeness,license_validity_score,price_deviation_score,temporal_consistency_score,geofence_compliance_score,speed_anomaly_severity,batch_health_score,historical_pattern_score,is_counterfeit
0.047508826174865494,0.311975537488802,0.40727167326947156,0.5365979618842218,0.8413794373525512,0.5672851194220065,0.6858471038028844,0.8926988087601145,0.4519143120716919,0.8590000948715476,1
0.7607207070883071,0.8010413547153277,0.9891517830355263,0.4671043917100398,0.7952330957109495,0.6335839997607253,0.6904013819761825,0.34978646858873547,0.6645783274913932,0.6282469063761845,1
0.1280451169964593,0.3629996133587349,0.33,0.0,0.007320234466961405,0.474019774780186,0.010634705425193569,0.9498806690736797,0.264468567013606,0.5817203095538688,1
0.9597899978811085,0.9921874235023117,1.0,1.0,0.9088492502051919,0.9195982862419145,0.9045227288910538,0.0,1.0,0.9325330330763264,0
0.03003380016340833,0.42123013061644565,0.5041554530763094,0.8401138896041767,0.6166691602409536,0.3339168064183213,0.7148970164188047,0.8144168671997347,0.3285026911061034,0.6036325425704662,1
0.028449873737439235,0.23641548182672867,0.4331135501729825,0.5505229055053233,0.8768645366776527,0.3249167192520251,0.6528266384449369,0.9993393707705953,0.6255881078024075,0.7845658314693033,1
0.0632312209953501,0.35217044260651775,0.34413477207713333,0.5741716004810444,0.9946520491835388,0.6860474785744182,0.5014819942803229,0.9903623570846478,0.5556479751262001,0.8603754883560066,1
0.701522075736891,0.748481946483016,0.67,1.0,0.8831860127324898,0.6577261106480512,0.7743714664267837,0.0,0.9154362715274202,0.6962280203709635,0
0.9607544851901438,0.9170524123687291,1.0,1.0,0.9065051592985279,0.9948885537253334,0.996563203307456,0.0,1.0,0.9808397348116461,0
0.2605869503866832,0.3329790558375225,0.0,0.0,0.1361080903815848,0.40607087874565123,0.008930946239159687,0.918719131145611,0.14708398667173894,0.5735508104879733,1
0.19599406587177015,0.3805644768908967,0.5280237037904638,0.874036589714766,0.924707915236055,0.5625914429326011,0.53842872390986,0.8676535011988997,0.6712334561304198,0.6673846835531556,1
0.734640373982003,0.8867703298475946,1.0,1.0,0.9398504734397374,0.6231700196104433,0.9270187301735288,0.0,1.0,0.7090608019544089,0
0.10799142605611192,0.45260998831292637,0.5071257122724944,0.8117928440013799,0.6356497728464067,0.6021081681987231,0.5383140450905705,0.9652135260505057,0.6128112350681543,0.812623409322893,1
0.8618722310957028,0.9620226789358362,1.0,1.0,0.9867072318580103,0.6826481105112943,0.9022684797721876,0.0,1.0,0.8003032589374399,0
0.2688663908055115,0.27843299121308085,0.0,0.0,0.015591385095441723,0.4082592670602141,0.3545302597254582,0.9483876494984342,0.3570434660662139,0.5405184249209375,1
0.07612465869531602,0.46339229613352084,0.6251392746365332,0.9029627000588105,0.9160121745228246,0.4218716556392163,0.5242757849153756,0.8805960357530324,0.36940980599460344,0.8084853266707386,1
0.6272192092819084,0.7826573895152473,0.8721492445537904,0.574739718693269,0.7447946110932188,0.42411168328073806,0.7804906614571684,0.4199331533067325,0.6067934945095528,0.5284274247586915,1
0.11732169263509483,0.250404262323459,0.580537073281022,0.9313985387716143,0.6866959200363103,0.3382858222080647,0.507091575813901,0.9283943000886532,0.5428376144355123,0.764009223814221,1
0.6386350422913849,0.515478741997613,0.67,0.519713405684253,0.8411150345031377,0.5850496634831331,0.5541726035382001,0.0,0.9135890461105259,0.6830976595176084,0
0.22581499186729237,0.14758153158792212,0.0,0.0,0.2883945864554722,0.3930940017539967,0.4395357401140658,0.6020580683018859,0.40997345870405005,0.36858754845747704,1
0.7447191677038905,0.9926445078881223,1.0,1.0,0.9012154474689816,0.6939757653415277,0.8086319823901152,0.0,1.0,0.8782286227396142,0
0.7148946226359824,0.8683657553516544,0.67,1.0,0.9385801935579671,0.6403254640095489,0.6490967828597113,0.0,0.9164265797930993,0.7629149440462765,0
0.6177200859359234,0.7441223905422423,0.8674143470410338,0.5942652456956758,0.7995042534178849,0.6866226662687115,0.6927695598605574,0.42637441598822157,0.5908532094124698,0.7356954854240696,1
0.6236672381846774,0.7819809779392577,0.9471347542597537,0.4535331807732176,0.671561681368156,0.6175538721724396,0.5553428759400918,0.40867063249568647,0.5003533866225797,0.5078590125596194,1
0.7173682236041758,0.849087894836866,1.0,1.0,0.7382740908386691,0.6567551811597448,0.7089246889195905,0.0,0.9645917241331601,0.7141556609337824,0
0.9851136671516857,0.9316922005156277,1.0,1.0,0.9169492746686093,0.955680126245835,0.9936154774160781,0.0,1.0,0.9696029796674973,0
0.6208449605616695,0.7769022655289625,0.8309301326450172,0.560889703818189,0.7851593157758612,0.6201302133096711,0.723078174852968,0.4518798178485608,0.5902312094128994,0.521279664840132,1
0.6376548471560474,0.6281105935156721,0.8302446008876013,0.4055073439738931,0.70109102358209,0.5928034814235404,0.67684134259716,0.4116988037724735,0.5061911581838687,0.5775973519893739,1
0.05011018382762256,0.397350587841093,0.0,0.0,0.12047407092764623,0.4675651470566491,0.1152845979025095,0.9322570071002498,0.06016938101749797,0.3140836071443439,1
0.07443340476750267,0.32962306488325877,0.47939769649611375,0.8064697912472627,0.977230335097883,0.39627708473300194,0.5364504128902754,0.8394940979719875,0.6547699600837078,0.7937432437965618,1
0.9314355981076327,0.9508570691164703,1.0,1.0,0.9907566473926093,0.9249292229148875,0.941038292303563,0.0,1.0,0.9755551138543048,0
0.26044824121546406,0.1735856596766004,0.0,0.0,0.2601882602879407,0.44167259534300696,0.418506664181836,0.8789885846677135,0.3400703858801502,0.48558341346455525,1
0.9887086424265117,0.9779875545857624,1.0,1.0,0.9642031646154288,0.9084139964995049,0.9161628714094614,0.0,1.0,0.9898554188527079,0
0.9284840494377468,0.9036886947354533,1.0,1.0,0.9609564333979896,0.9502679023228862,0.905147875124999,0.0,1.0,0.9278646464236612,0
0.17601581751229167,0.39526321071415826,0.511205647427454,0.6621668765576878,0.7332007652232791,0.567794782079276,0.7982418083663503,0.9323678379698758,0.5231133669480099,0.8191951530717738,1
0.6254977324663965,0.7794574581120735,1.0,1.0,0.7449752282046321,0.6458502790465283,0.81667577051792,0.0,0.9720036536546075,0.7282295265770595,0
0.9034388521115219,0.9909320402078782,1.0,1.0,0.9258779981600017,0.9662522284353983,0.9311711076089411,0.0,1.0,0.9520068021177811,0
0.7908102054517445,0.821234926890176,0.67,1.0,0.901510205321757,0.7236256480915791,0.7074488154098522,0.0,0.9113557592199629,0.73431463911856,0
0.859659035793355,0.929992786155553,1.0,1.0,0.9701966877257704,0.6591585338872201,0.9780010683635133,0.0,1.0,0.7675990313703072,0
